#X,CH1
#Second,Volt,
9.30e-07,-4.96e-01
9.32e-07,-4.96e-01
9.34e-07,-4.96e-01
9.36e-07,-5.00e-01
9.38e-07,-4.96e-01
9.40e-07,-5.00e-01
9.42e-07,-4.96e-01
9.44e-07,-5.00e-01
9.46e-07,-4.96e-01
9.48e-07,-4.96e-01
9.50e-07,-5.00e-01
9.52e-07,-5.00e-01
9.54e-07,-4.96e-01
9.56e-07,-5.00e-01
9.58e-07,-4.96e-01
9.60e-07,-4.96e-01
9.62e-07,-4.96e-01
9.64e-07,-4.96e-01
9.66e-07,-4.96e-01
9.68e-07,-4.96e-01
9.70e-07,-5.00e-01
9.72e-07,-5.00e-01
9.74e-07,-4.96e-01
9.76e-07,-5.00e-01
9.78e-07,-4.96e-01
9.80e-07,-4.96e-01
9.82e-07,-5.00e-01
9.84e-07,-5.00e-01
9.86e-07,-4.96e-01
9.88e-07,-5.00e-01
9.90e-07,-4.96e-01
9.92e-07,-5.00e-01
9.94e-07,-4.96e-01
9.96e-07,-5.00e-01
9.98e-07,-4.96e-01
1.00e-06,-4.96e-01
1.00e-06,-5.00e-01
1.00e-06,-5.00e-01
1.01e-06,-4.96e-01
1.01e-06,-4.96e-01
1.01e-06,-4.96e-01
1.01e-06,-5.00e-01
1.01e-06,-4.96e-01
1.02e-06,-5.00e-01
1.02e-06,-4.96e-01
1.02e-06,-4.96e-01
1.02e-06,-5.04e-01
1.02e-06,-5.04e-01
1.03e-06,-5.00e-01
1.03e-06,-5.04e-01
1.03e-06,-5.04e-01
1.03e-06,-5.00e-01
1.03e-06,-5.08e-01
1.04e-06,-5.08e-01
1.04e-06,-5.04e-01
1.04e-06,-5.08e-01
1.04e-06,-5.04e-01
1.04e-06,-5.08e-01
1.05e-06,-5.08e-01
1.05e-06,-5.08e-01
1.05e-06,-5.04e-01
1.05e-06,-5.12e-01
1.05e-06,-5.04e-01
1.06e-06,-5.12e-01
1.06e-06,-5.08e-01
1.06e-06,-5.08e-01
1.06e-06,-5.12e-01
1.06e-06,-5.08e-01
1.07e-06,-5.12e-01
1.07e-06,-5.12e-01
1.07e-06,-5.08e-01
1.07e-06,-5.12e-01
1.07e-06,-5.08e-01
1.08e-06,-5.08e-01
1.08e-06,-5.04e-01
1.08e-06,-5.08e-01
1.08e-06,-5.04e-01
1.08e-06,-5.08e-01
1.09e-06,-5.00e-01
1.09e-06,-5.04e-01
1.09e-06,-5.04e-01
1.09e-06,-5.04e-01
1.09e-06,-5.00e-01
1.10e-06,-5.04e-01
1.10e-06,-5.00e-01
1.10e-06,-5.00e-01
1.10e-06,-5.04e-01
1.10e-06,-5.04e-01
1.11e-06,-5.00e-01
