X,CH1
Second,Volt,
3.70e-07,-3.29e-02
3.72e-07,-3.16e-02
3.74e-07,-3.29e-02
3.76e-07,-3.23e-02
3.78e-07,-3.23e-02
3.80e-07,-3.16e-02
3.82e-07,-3.23e-02
3.84e-07,-3.23e-02
3.86e-07,-3.29e-02
3.88e-07,-3.16e-02
3.90e-07,-3.23e-02
3.92e-07,-3.16e-02
3.94e-07,-3.23e-02
3.96e-07,-3.23e-02
3.98e-07,-3.23e-02
4.00e-07,-3.16e-02
4.02e-07,-3.29e-02
4.04e-07,-3.16e-02
4.06e-07,-3.23e-02
4.08e-07,-3.16e-02
4.10e-07,-3.23e-02
4.12e-07,-3.23e-02
4.14e-07,-3.16e-02
4.16e-07,-3.16e-02
4.18e-07,-3.23e-02
4.20e-07,-3.23e-02
4.22e-07,-3.29e-02
4.24e-07,-3.16e-02
4.26e-07,-3.29e-02
4.28e-07,-3.16e-02
4.30e-07,-3.29e-02
4.32e-07,-3.23e-02
4.34e-07,-3.29e-02
4.36e-07,-3.16e-02
4.38e-07,-3.29e-02
4.40e-07,-3.16e-02
4.42e-07,-3.29e-02
4.44e-07,-3.23e-02
4.46e-07,-3.29e-02
4.48e-07,-3.23e-02
4.50e-07,-3.29e-02
4.52e-07,-3.23e-02
4.54e-07,-3.29e-02
4.56e-07,-3.16e-02
4.58e-07,-3.23e-02
4.60e-07,-3.16e-02
4.62e-07,-3.23e-02
4.64e-07,-3.16e-02
4.66e-07,-3.23e-02
4.68e-07,-3.23e-02
4.70e-07,-3.23e-02
4.72e-07,-3.16e-02
4.74e-07,-3.23e-02
4.76e-07,-3.16e-02
4.78e-07,-3.23e-02
4.80e-07,-3.16e-02
4.82e-07,-3.23e-02
4.84e-07,-3.23e-02
4.86e-07,-3.23e-02
4.88e-07,-3.16e-02
4.90e-07,-3.23e-02
4.92e-07,-3.16e-02
4.94e-07,-3.23e-02
4.96e-07,-3.23e-02
4.98e-07,-3.23e-02
5.00e-07,-3.16e-02
5.02e-07,-3.23e-02
5.04e-07,-3.23e-02
5.06e-07,-3.29e-02
5.08e-07,-3.23e-02
5.10e-07,-3.23e-02
5.12e-07,-3.23e-02
5.14e-07,-3.29e-02
5.16e-07,-3.23e-02
5.18e-07,-3.16e-02
